id,naics,num_employees,lat,lon,size,GEOID
121364,32619913,50,41.898281,-87.742546,Medium,17031
123205,32619913,301,41.885384,-87.632988,Large,17031
129062,32619913,50,41.640678,-87.728851,Medium,17031
139490,32619913,8,41.999264,-87.869568,Small,17031
150644,32619913,3,42.02998,-88.259888,Small,17031
154848,32619913,30,42.014702,-87.951103,Medium,17031
155067,32619913,140,41.996193,-87.967331,Large,17031
166858,32619913,50,41.944241,-87.905457,Medium,17031
166893,32619913,201,41.93095,-87.891235,Large,17031
201556,32619913,4,41.814072,-87.876701,Small,17031
261394,32619913,2,41.89325,-87.796432,Small,17031
271568,32619913,100,42.085773,-88.072365,Large,17031
287961,32619913,7,41.626011,-87.67878,Small,17031
309215,32619913,70,42.03595,-88.033623,Medium,17031
309532,32619913,13,41.947441,-87.857208,Small,17031
313057,32619913,4,42.029129,-87.718796,Small,17031
2933,32619916,25,41.68309,-87.760262,Medium,17031
46978,32619916,1,41.949039,-87.836205,Small,17031
86845,32619916,4,41.676094,-87.64241,Small,17031
111359,32619916,10,41.887501,-87.67131,Small,17031
111607,32619916,10,41.852901,-87.7174,Small,17031
115409,32619916,15,41.809155,-87.684883,Small,17031
154544,32619916,10,42.032219,-87.973251,Small,17031
166718,32619916,10,41.932442,-87.855721,Small,17031
176239,32619916,8,42.090771,-87.837639,Small,17031
211417,32619916,100,42.007519,-87.722191,Large,17031
216981,32619916,8,41.500881,-87.529999,Small,17031
314093,32619916,10,42.059666,-87.75705,Small,17031
346526,32619916,17,42.129948,-87.913681,Small,17031
118954,32619918,25,41.66016,-87.58651,Medium,17031
121613,32619918,60,41.978321,-87.756073,Medium,17031
